nine_ts_title,nine_ts_artist,nine_album,nine_ts_playlist,nine_ts_type,nine_ISRC,nine_ts_year,nine_ts_genre
Keisha & Becky - Remix,Russ Millions,Keisha & Becky (Remix),Top Hits of 2019,Playlist track,GBUM71901541,,
Suge,DaBaby,Baby On Baby,Top Hits of 2019,Playlist track,USUM71902966,,
Sucker,Jonas Brothers,Happiness Begins,Top Hits of 2019,Playlist track,USUG11900515,,
Panini,Lil Nas X,Panini,Top Hits of 2019,Playlist track,USSM11903948,,
bury a friend,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Top Hits of 2019,Playlist track,USUM71900770,,
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,Carte Blanche,Top Hits of 2019,Playlist track,USUG11802029,,
"10,000 Hours (with Justin Bieber)",Dan + Shay,"10,000 Hours (with Justin Bieber)",Top Hits of 2019,Playlist track,USWB11902440,,
MIDDLE CHILD,J. Cole,MIDDLE CHILD,Top Hits of 2019,Playlist track,QMJMT1902056,,
a lot,21 Savage,i am > i was,Top Hits of 2019,Playlist track,QZ45A1700126,,
ZEZE (feat. Travis Scott & Offset),Kodak Black,Dying to Live,Top Hits of 2019,Playlist track,USAT21811523,,
Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,Top Hits of 2019,Playlist track,QZES71982312,,
Here With Me,Marshmello,Here With Me,Top Hits of 2019,Playlist track,USUG11900610,,
Leave Me Alone,Flipp Dinero,LOVE FOR GUALA,Top Hits of 2019,Playlist track,QMKSC1800039,,
Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Top Hits of 2019,Playlist track,GBKPL1778698,,
SOS (feat. Aloe Blacc),Avicii,TIM,Top Hits of 2019,Playlist track,SE5R71900201,,
Take Me Back to London (feat. Stormzy),Ed Sheeran,No.6 Collaborations Project,Top Hits of 2019,Playlist track,GBAHS1900716,,
Let Me Down Slowly,Alec Benjamin,Narrated For You,Top Hits of 2019,Playlist track,USAT21802284,,
Ransom,Lil Tecca,We Love You Tecca,Top Hits of 2019,Playlist track,QZ85M1940160,,
Hold Me While You Wait,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Top Hits of 2019,Playlist track,DEUM71900680,,
